name,poi_id,cate,lat,lng,COMMUNITY,AREA_NUMBE
Pollo Express,620321,catering,41.857721,-87.6595468,LOWER WEST SIDE,31.0
Carm's Beef,623516,catering,41.8716383,-87.6534137,NEAR WEST SIDE,28.0
Fontano's Subs,624748,catering,41.8720643,-87.6534323,NEAR WEST SIDE,28.0
Coalfire,626082,catering,41.8908314,-87.6599043,WEST TOWN,24.0
Bottom Lounge,626151,catering,41.8850737,-87.6618012,NEAR WEST SIDE,28.0
Burger Baron,626153,catering,41.8908386,-87.6620451,WEST TOWN,24.0
Athena,626219,catering,41.8786966,-87.6476071,NEAR WEST SIDE,28.0
Mart Anthony's,626418,catering,41.8901312,-87.6576748,WEST TOWN,24.0
Carnivale,626556,catering,41.887147,-87.6460688,NEAR WEST SIDE,28.0
The Butcher & the Burger,628483,catering,41.9179106,-87.6542354,LINCOLN PARK,7.0
Tarantino's,628520,catering,41.9182358,-87.6559654,LINCOLN PARK,7.0
Dee's,628522,catering,41.9182484,-87.6560539,LINCOLN PARK,7.0
Stanley's Grille,628895,catering,41.9102197,-87.6615233,WEST TOWN,24.0
,628905,catering,41.9104807,-87.6436094,NEAR NORTH SIDE,8.0
,630386,catering,41.9185663,-87.6488284,LINCOLN PARK,7.0
Chez Moi,630816,catering,41.9201141,-87.64893,LINCOLN PARK,7.0
Moretti's Pizzeria & Bar,631568,catering,41.9231898,-87.6451639,LINCOLN PARK,7.0
Simply it,631593,catering,41.9234398,-87.6455259,LINCOLN PARK,7.0
,632226,catering,41.9102688,-87.6490677,NEAR NORTH SIDE,8.0
Sarpino's Pizzeria,633733,catering,41.932387,-87.6577086,LINCOLN PARK,7.0
Dog Haus Biergarten,634177,catering,41.92673,-87.650933,LINCOLN PARK,7.0
Hop sand Curds,634186,catering,41.9268334,-87.6510554,LINCOLN PARK,7.0
Las Fuentes,634315,catering,41.928972,-87.6491613,LINCOLN PARK,7.0
The Wiener Circle,634408,catering,41.9301587,-87.6438177,LINCOLN PARK,7.0
McDonald's,634513,catering,41.9307288,-87.6435111,LINCOLN PARK,7.0
Select Cut Steak House,637299,catering,41.9330956,-87.649263,LAKE VIEW,6.0
Wilde Bar & Restaurant,637913,catering,41.9386621,-87.6447774,LAKE VIEW,6.0
Zam Zam,640510,catering,41.9451622,-87.654632,LAKE VIEW,6.0
Dimo's,640512,catering,41.9452247,-87.6546666,LAKE VIEW,6.0
Wrigleyville Dogs,641030,catering,41.9500328,-87.6584974,LAKE VIEW,6.0
IHOP,641146,catering,41.9510435,-87.6499354,LAKE VIEW,6.0
Golden House Restaurant,643835,catering,41.9684449,-87.6599842,UPTOWN,3.0
Dunkin',644932,catering,41.9756148,-87.6602692,UPTOWN,3.0
El Campeón Piña Colada,646089,catering,42.0106591,-87.6602178,ROGERS PARK,1.0
Sharks Fish & Chicken,654449,catering,41.6782078,-87.6229652,WEST PULLMAN,53.0
McDonald's,670831,catering,41.7360988,-87.622951,CHATHAM,44.0
Petey's,684964,catering,41.8093357,-87.6331223,FULLER PARK,37.0
